game_id,season_id,game_date,home_team,visitor_team,home_score,visitor_score,attendance,game_length,game_length_seconds,venue,num_periods,shootout_rounds,referee1_name,referee1_number,referee2_name,referee2_number,linesperson1_name,linesperson1_number,linesperson2_name,linesperson2_number
16,1,"Saturday, January 20, 2024",PWHL Boston,PWHL New York,1,4,4007,2:13,7980,Tsongas Center | Lowell,NA,0,Kelly Cooke (29),NA,Shauna Neary (88),NA,Stephanie Gagnon (76),NA,Kirsten Welsh (64),NA
17,1,"Saturday, January 20, 2024",PWHL Montreal,PWHL Toronto,3,4,3232,2:36,9360,Verdun Auditorium | Montreal,NA,2,Elizabeth Mantha (15),NA,Chelsea Rapin (2),NA,Laura Gutauskas (67),NA,Anthony Lapointe (78),NA
18,1,"Tuesday, January 23, 2024",PWHL Ottawa,PWHL Toronto,3,1,6316,2:17,8220,TD Place | Ottawa,NA,0,Chad Ingalls (25),NA,Liam Maaskant (62),NA,Stephanie Gagnon (76),NA,Dustin McCrank (68),NA
19,1,"Wednesday, January 24, 2024",PWHL Ottawa,PWHL Boston,2,3,5208,2:24,8640,TD Place | Ottawa,NA,0,David Elford (11),NA,Brandy Beecroft (33),NA,Justine Todd (70),NA,Shawn Oliver (56),NA
20,1,"Wednesday, January 24, 2024",PWHL Minnesota,PWHL Montreal,1,2,5001,2:23,8580,Xcel Energy Center,NA,0,Charly Hurley (43),NA,Melissa Doyle (48),NA,Sarah Buckner (10),NA,Antoine Bujold-Roux (72),NA
21,1,"Friday, January 26, 2024",PWHL Toronto,PWHL New York,2,0,2506,2:17,8220,Mattamy Athletic Centre | Toronto,NA,0,Cianna Murray (13),NA,Krysta Ansell (19),NA,Sophie Thomson (75),NA,Erin Zach (60),NA
22,1,"Saturday, January 27, 2024",PWHL Montreal,PWHL Ottawa,2,1,8646,2:29,8940,Place Bell | Laval,NA,0,Shauna Neary (88),NA,Alexandra Clarke (7),NA,Ali Beres (68),NA,Spencer Knox (81),NA
23,1,"Saturday, January 27, 2024",PWHL Boston,PWHL Minnesota,4,3,4059,2:21,8460,Tsongas Center | Lowell,NA,0,Marie-Eve Couture (51),NA,Katie Glover (45),NA,Anthony Lapointe (78),NA,Jeremy Faucher (85),NA
24,1,"Sunday, January 28, 2024",PWHL New York,PWHL Minnesota,1,2,2393,2:30,9000,Total Mortgage Arena | Bridgeport,NA,0,Katie Glover (45),NA,Jake Kamrass (3),NA,Jarrett T. Burton (90),NA,Patrick Dapuzzo (77),NA
25,1,"Saturday, February  3, 2024",PWHL Toronto,PWHL Minnesota,4,1,2470,2:19,8340,Mattamy Athletic Centre | Toronto,NA,0,Amy Martin (52),NA,Grace Barlow (22),NA,Melissa Brunn (73),NA,TJ Dockery (50),NA
26,1,"Sunday, February  4, 2024",PWHL Ottawa,PWHL New York,3,4,8062,2:30,9000,TD Place | Ottawa,NA,0,Samantha Hiller (12),NA,Laura Schmidlein (53),NA,Greg Offerman (95),NA,Melissa Brunn (73),NA
27,1,"Sunday, February  4, 2024",PWHL Boston,PWHL Montreal,1,2,4210,2:19,8340,Tsongas Center | Lowell,NA,0,Sydney Harris (46),NA,Jim Curtin (23),NA,Erika Greenen (88),NA,Abigail Torres,NA
29,1,"Wednesday, February 14, 2024",PWHL Boston,PWHL Toronto,3,5,1791,2:20,8400,Tsongas Center | Lowell,NA,0,Laura Schmidlein (53),NA,Jake Kamrass (3),NA,Patrick Dapuzzo (77),NA,Jenny Cameron (49),NA
28,1,"Wednesday, February 14, 2024",PWHL Minnesota,PWHL Ottawa,2,1,6276,2:14,8040,Xcel Energy Center,NA,0,Cianna Murray (13),NA,Kyle Bauman (18),NA,Erin Zach (60),NA,Greg Offerman (95),NA
30,1,"Friday, February 16, 2024",PWHL Toronto,PWHL Montreal,3,0,19285,2:20,8400,Scotiabank Arena | Toronto,NA,0,Brandy Beecroft (47),NA,Jordan Deckard (9),NA,Ali Beres (67),NA,Luke Pye (80),NA
31,1,"Saturday, February 17, 2024",PWHL Ottawa,PWHL Minnesota,1,2,8407,2:21,8460,TD Place | Ottawa,NA,0,Jenn Berezowski (4),NA,Jack Hennigan (44),NA,Melissa Brunn (73),NA,Jarrett T. Burton (90),NA
32,1,"Saturday, February 17, 2024",PWHL Boston,PWHL New York,1,2,4002,2:25,8700,Tsongas Center | Lowell,NA,0,Laura White (47),NA,Lacey Senuk (39),NA,Sarah Buckner (10),NA,Justine Todd (70),NA
33,1,"Sunday, February 18, 2024",PWHL Montreal,PWHL Minnesota,2,1,10172,2:16,8160,Place Bell | Laval,NA,0,Alex Lepkowski (14),NA,Hillary Brennan (61),NA,Melissa Brunn (73),NA,Adam Burnett (94),NA
83,1,"Monday, February 19, 2024",PWHL Boston,PWHL Ottawa,2,4,2849,2:27,8820,Tsongas Center | Lowell,NA,0,Jared Cummins (1),NA,Sydney Harris (46),NA,Antoine Bujold-Roux (72),NA,Laura Gutauskas (67),NA
34,1,"Wednesday, February 21, 2024",PWHL Boston,PWHL Ottawa,3,1,1889,2:17,8220,Tsongas Center | Lowell,NA,0,Hillary Brennan (61),NA,Andrew Bell (6),NA,Joanie Duchesneau (74),NA,Jeremy Faucher (85),NA
35,1,"Wednesday, February 21, 2024",PWHL New York,PWHL Montreal,3,2,2128,2:27,8820,UBS Arena | Elmont,NA,1,Sydney Harris (46),NA,Liam Maaskant (62),NA,Dustin McCrank (84),NA,Kirsten Welsh (64),NA
36,1,"Friday, February 23, 2024",PWHL Toronto,PWHL New York,2,1,2494,2:29,8940,Mattamy Athletic Centre | Toronto,NA,1,Alexandra Clarke (7),NA,Damian Figueira (20),NA,Dustin McCrank (84),NA,Erin Zach (60),NA
37,1,"Saturday, February 24, 2024",PWHL Montreal,PWHL Ottawa,6,3,3232,2:24,8640,Verdun Auditorium | Montreal,NA,0,Beatrice Fortin (26),NA,Elizabeth Mantha (15),NA,Justine Todd (70),NA,Anthony Lapointe (78),NA
38,1,"Sunday, February 25, 2024",PWHL Minnesota,PWHL Boston,0,2,10186,2:20,8400,Xcel Energy Center,NA,0,Samantha Hiller (12),NA,Laura White (47),NA,Jarrett T. Burton (90),NA,Shawn Oliver (56),NA
