HOUSEID,FSA,PT,YearBuilt,FloorArea,BldgType,Storeys,FoundationType,Pre_Date,Post_Date,Pre_TotalEnergy,Post_TotalEnergy,Pre_HeatEnergy,Post_HeatEnergy,Pre_Electricity,Post_Electricity,Pre_NaturalGas,Post_NaturalGas,Pre_Oil,Post_Oil,Pre_Propane,Post_Propane,Pre_Wood,Post_Wood,Pre_AirLeakage,Post_AirLeakage,Pre_RoofInsulation,Post_RoofInsulation,Pre_WallInsulation,Post_WallInsulation,Pre_FoundationInsulation,Post_FoundationInsulation,Pre_FloorInsulation,Post_FloorInsulation,Pre_WindowCode,Post_WindowCode,Pre_HeatFuel,Post_HeatFuel,Pre_HeatType,Post_HeatType,Pre_HeatAFUE,Post_HeatAFUE,Pre_HeatSeasonalCOP,Post_HeatSeasonalCOP,Pre_HPType,Post_HPType,Pre_HPCOP,Post_HPCOP,Wall_Insulation_Upgrade,Roof_Insulation_Upgrade,Foundation_Insulation_Upgrade,Floor_Insulation_Upgrade,Windows_Change,Air_Tightness_Upgrade,Heating_Change,Cooling_Change,HeatPump_Addition,Shallow_Retrofit,Medium_Retrofit,Deep_Retrofit,EnergySavingPct,HeatEnergySavingPct,FuelSwitch
412446.0,C1E,PE,1994,209.7,Single detached,One storey,B1;B2,2008-06-01,2008-11-01,39240.09,27132.8,18508.29,5919.19,9215.0,15553.8,0.0,0.0,28619.16,11036.4,0.0,0.0,0.0,0.0,2.5421,2.7313,6.79,6.79,2.92,2.92,1.36,1.36,0.0,0.0,233224,230245,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,79.5,238.8,N/A {no Heat Pump},Ground,0.0,3.0,False,False,False,False,True,False,False,False,True,False,True,False,0.31,0.68,False
484527.0,C1N,PE,1977,214.6,Single detached,One storey,B1,2008-10-01,2008-11-01,42729.56,41721.67,21784.17,20759.25,9428.6,9445.6,0.0,0.0,31741.38,30764.22,0.0,0.0,0.0,0.0,2.1251,2.0901,4.93,4.93,2.31,2.31,1.23,1.23,0.0,0.0,200004,200004.0,Oil,Oil,Boiler  with flame retention head,Mid-efficiency boiler  (no dil. air),80.0,85.9,79.6,82.4,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,False,False,True,False,True,False,False,True,False,False,0.02,0.05,False
365875.0,C1N,PE,1975,188.9,Single detached,One storey,B1;B2;B3,2008-02-01,2008-12-01,46321.09,39731.35,25595.79,19014.12,9208.5,9200.4,0.0,0.0,35374.62,29100.6,0.0,0.0,0.0,0.0,3.47,2.5682,5.69,5.69,1.91,2.8,0.34,0.74,0.0,0.0,200002,200224.0,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,80.2,79.9,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,False,True,False,True,True,False,False,False,False,True,False,0.14,0.26,False
388448.0,C1B,PE,1973,192.5,"Row house, end unit",One storey,B1,2008-04-01,2008-06-01,59107.42,42442.9,38212.92,24553.81,9377.6,9299.6,0.0,0.0,47400.42,31590.42,0.0,0.0,0.0,0.0,2.4738,2.3655,3.42,5.92,1.66,1.66,0.04,0.31,2.38,2.38,200004,200004,Oil,Oil,Boiler  with flue vent damper,Boiler  with flame retention head,0.0,85.0,68.4,81.4,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,False,False,True,False,False,False,True,False,0.28,0.36,False
388449.0,C1B,PE,1973,130.2,"Row house, end unit",One storey,B1,2008-04-01,2008-06-01,48169.41,37053.52,27532.33,16488.83,9120.2,9047.8,0.0,0.0,37219.8,26693.4,0.0,0.0,0.0,0.0,8.7789,6.8087,3.48,6.39,1.47,1.47,0.03,3.87,0.0,0.0,200004,200004,Oil,Oil,Boiler  with flue vent damper,Boiler  with flame retention head,0.0,85.0,67.9,81.0,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,True,False,False,True,True,False,False,False,True,False,0.23,0.4,False
390606.0,C0A,PE,1994,81.1,Single detached,One storey,C1;F1,2008-04-01,2008-10-01,41607.78,40990.16,26935.94,26285.15,14671.7,14704.9,0.0,0.0,25674.42,25054.26,0.0,0.0,0.0,0.0,6.2483,6.2316,3.3,3.3,3.56,3.56,0.27,0.27,0.0,0.0,200004,200004,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,75.7,75.6,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,0.01,0.02,False
393675.0,C0A,PE,1900,316.5,Single detached,Three storeys,B1,2008-03-01,2008-11-01,185887.1,100368.5,165992.41,81642.21,11309.4,10019.5,0.0,0.0,166400.76,86117.58,0.0,0.0,0.0,0.0,10.6953,6.7731,0.26,3.02,0.7,1.57,0.05,0.05,0.56,0.56,200004,233224,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,79.5,79.8,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,False,False,True,True,False,False,False,False,True,False,0.46,0.51,False
401787.0,C1A,PE,1967,175.6,Single detached,One storey,B1;B2,2008-05-01,2008-11-01,44215.13,35106.0,23507.6,14514.73,9190.7,9074.4,0.0,0.0,33383.58,24812.52,0.0,0.0,0.0,0.0,4.5313,3.962,3.22,5.38,1.99,2.47,0.49,1.97,0.0,0.0,200022,233224.0,Oil,Oil,Boiler  with flame retention head,Boiler  with flame retention head,0.0,0.0,80.3,79.6,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,True,True,True,False,True,True,False,False,False,False,True,False,0.21,0.38,False
403311.0,C1A,PE,1930,277.6,Single detached,Two storeys,B1,2008-05-01,2008-10-01,73245.61,58684.89,55016.94,40753.24,9609.3,9386.4,0.0,0.0,60655.32,46989.36,0.0,0.0,0.0,0.0,7.3164,6.635,2.02,2.02,1.74,1.74,0.24,2.26,0.0,0.0,200002,200002,Oil,Oil,Furnace with flame retention head,Furnace with flame retention head,0.0,0.0,79.9,79.5,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,0.2,0.26,False
402834.0,C0A,PE,1987,204.8,Single detached,One storey,B1,2008-03-01,2008-04-01,37560.27,35986.26,16783.75,15194.26,9259.7,9275.1,0.0,0.0,26974.92,25460.22,0.0,0.0,0.0,0.0,2.3698,2.2312,4.03,6.27,2.69,2.69,1.83,1.83,0.0,0.0,200002,200002,Oil,Oil,Mid-efficiency boiler  (no dil. air),Mid-efficiency boiler  (no dil. air),85.0,85.0,81.5,81.3,N/A {no Heat Pump},N/A {no Heat Pump},0.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,0.04,0.09,False
