ObjectId,Data_Type,Location,Camera_Install_Year,Date_of_Data_Collection,AvgSpeed,Pct85th,PctCompliance,PctHighEndSpeeders
170,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Mar-21","39",44,69,2.1
171,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Apr-21","40",45,62,1.3
172,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Apr-21","59",66,62,2.1
173,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Apr-21","38",46,67,2.3
174,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Apr-21","41",50,59,5.4
175,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Apr-21","40",46,61,2.4
176,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Apr-21","50",58,55,3.7
177,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Apr-21","49",56,65,2.6
178,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Apr-21","39",44,68,2
179,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","May-21","40",45,63,1.2
180,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Aug-22","37",45,70,1.4
181,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","May-21","59",66,63,2.1
182,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","May-21","38",46,67,2.2
183,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","May-21","41",50,59,5.6
184,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","May-21","40",46,60,2.2
185,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","May-21","50",58,57,3.1
186,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","May-21","49",56,64,2.6
187,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","May-21","39",45,66,2.2
188,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Jun-21","40",45,62,1.2
189,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Jun-21","59",66,62,2
190,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Jun-21","37",46,67,2
191,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Jun-21","41",50,58,5.7
192,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Jun-21","40",46,62,1.9
193,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Jun-21","49",56,61,2.4
194,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Jun-21","49",56,65,2.2
195,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Jun-21","39",45,66,2.1
196,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Jul-21","40",45,63,1.1
197,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Jul-21","59",66,62,1.9
198,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Jul-21","38",46,66,1.9
199,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Jul-21","41",50,57,5.9
200,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Jul-21","40",46,59,2.2
201,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Jul-21","49",57,60,2.9
202,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Aug-22","39",47,68,3.1
203,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Aug-22","38",43,74,1
204,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Aug-22","49",55,66,1.6
205,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Aug-22","48",54,71,1.5
206,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Aug-22","38",43,72,1.6
207,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Sep-22","38",42,77,0.4
208,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Sep-22","57",63,74,0.9
209,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Sep-22","37",44,72,1.3
210,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Sep-22","38",45,72,2.4
211,"ASE Active ","E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ","2020","Sep-22","37",42,79,0.7
212,"ASE Active ","E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate","2020","Sep-22","38",54,71,1.6
213,"ASE Active ","E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ","2020","Sep-22","46",53,77,1.1
214,"ASE Active ","E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.","2020","Sep-22","37",42,77,1.1
215,"ASE Active ","E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.","2020","Oct-22","37",42,79,0.3
216,"ASE Active ","E002 - Innes Rd. between Provence Ave. and Trim Rd.","2020","Oct-22","57",63,74,1
217,"ASE Active ","E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ","2020","Oct-22","37",44,73,1.4
218,"ASE Active ","E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way","2020","Oct-22","38",45,72,2.5
