FSA,Bracket,Number
A0K,"$25,000 to $29,999",1780
A0K,"$30,000 to $34,999",1650
A0K,"$35,000 to $39,999",1530
A0K,"$40,000 to $44,999",1170
A0K,"$45,000 to $49,999",1050
A0K,"$50,000 to $54,999",870
A0K,"$55,000 to $59,999",750
A0K,"$60,000 to $69,999",1050
A0K,"$70,000 to $79,999",750
A0K,"$80,000 to $89,999",550
A0K,"$90,000 to $99,999",410
A0K,"$100,000 to $149,999",990
A0K,"$150,000 to $249,999",270
A0K,"$250,000 and over",50
A0L,"Under $5,000",340
A0L,"$5,000 to $9,999",310
A0L,"$10,000 to $14,999",540
A0L,"$15,000 to $19,999",660
A0L,"$20,000 to $24,999",630
A0L,"$25,000 to $29,999",430
A0L,"$30,000 to $34,999",480
A0L,"$35,000 to $39,999",450
A0L,"$40,000 to $44,999",380
A0L,"$45,000 to $49,999",340
A0L,"$50,000 to $54,999",320
A0L,"$55,000 to $59,999",270
A0L,"$60,000 to $69,999",370
A0L,"$70,000 to $79,999",290
A0L,"$80,000 to $89,999",200
A0L,"$90,000 to $99,999",180
A0L,"$100,000 to $149,999",330
A0L,"$150,000 to $249,999",80
A0L,"$250,000 and over",20
A0M,"Under $5,000",290
A0M,"$5,000 to $9,999",250
A0M,"$10,000 to $14,999",470
A0M,"$15,000 to $19,999",590
A0M,"$20,000 to $24,999",610
A0M,"$25,000 to $29,999",440
A0M,"$30,000 to $34,999",330
A0M,"$35,000 to $39,999",300
A0M,"$40,000 to $44,999",260
A0M,"$45,000 to $49,999",190
A0M,"$50,000 to $54,999",160
A0M,"$55,000 to $59,999",210
A0M,"$60,000 to $69,999",340
A0M,"$70,000 to $79,999",230
A0M,"$80,000 to $89,999",180
A0M,"$90,000 to $99,999",110
A0M,"$100,000 to $149,999",190
A0M,"$150,000 to $249,999",60
A0M,"$250,000 and over",10
A0N,"Under $5,000",890
A0N,"$5,000 to $9,999",810
A0N,"$10,000 to $14,999",1460
A0N,"$15,000 to $19,999",1980
A0N,"$20,000 to $24,999",1340
A0N,"$25,000 to $29,999",940
A0N,"$30,000 to $34,999",920
A0N,"$35,000 to $39,999",770
A0N,"$40,000 to $44,999",590
