fsa,characteristic_id,characteristic_name,count_total,rate_total
B2V,30,      85 to 89 years,105.0,0.9
B2V,40,Median age of the population,43.2,43.2
B2V,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,12250.0,100.0
B2V,386,  English and French,1695.0,13.8
B2V,1414,Total - Private households by tenure - 25% sample data,4675.0,100.0
B2V,1415,  Owner,3820.0,81.7
B2V,1416,  Renter,835.0,17.9
B2V,1486,  Median monthly shelter costs for owned dwellings ($),1450.0,1450.0
B2V,1488,  Median value of dwellings ($),348000.0,348000.0
B2V,1494,  Median monthly shelter costs for rented dwellings ($),1040.0,1040.0
B2V,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",10230.0,100.0
B2V,1999,"  No certificate, diploma or degree",1065.0,10.4
B2V,2000,  High (secondary) school diploma or equivalency certificate,2680.0,26.2
B2V,2001,"  Postsecondary certificate, diploma or degree",6480.0,63.3
B2V,2002,    Postsecondary certificate or diploma below bachelor level,3345.0,32.7
B2V,2008,    Bachelor's degree or higher,3145.0,30.7
B2V,2009,      Bachelor's degree,2200.0,21.5
B2V,2012,      Master's degree,660.0,6.5
B2V,2013,      Earned doctorate,60.0,0.6
B2W,1,"Population, 2021",33145.0,
B2W,8,Total - Age groups of the population - 100% data,33145.0,100.0
B2W,9,  0 to 14 years,4880.0,14.7
B2W,13,  15 to 64 years,20680.0,62.4
B2W,24,  65 years and over,7585.0,22.9
B2W,25,    65 to 69 years,2170.0,6.5
B2W,26,    70 to 74 years,1955.0,5.9
B2W,27,    75 to 79 years,1440.0,4.3
B2W,28,    80 to 84 years,1035.0,3.1
B2W,29,    85 years and over,985.0,3.0
B2W,30,      85 to 89 years,665.0,2.0
B2W,40,Median age of the population,46.4,46.4
B2W,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,32935.0,100.0
B2W,386,  English and French,3580.0,10.9
B2W,1414,Total - Private households by tenure - 25% sample data,13745.0,100.0
B2W,1415,  Owner,10065.0,73.2
B2W,1416,  Renter,3680.0,26.8
B2W,1486,  Median monthly shelter costs for owned dwellings ($),1210.0,1210.0
B2W,1488,  Median value of dwellings ($),300000.0,300000.0
B2W,1494,  Median monthly shelter costs for rented dwellings ($),1500.0,1500.0
B2W,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",28125.0,100.0
B2W,1999,"  No certificate, diploma or degree",3545.0,12.6
B2W,2000,  High (secondary) school diploma or equivalency certificate,8195.0,29.1
B2W,2001,"  Postsecondary certificate, diploma or degree",16380.0,58.2
B2W,2002,    Postsecondary certificate or diploma below bachelor level,9445.0,33.6
B2W,2008,    Bachelor's degree or higher,6930.0,24.6
B2W,2009,      Bachelor's degree,4910.0,17.5
B2W,2012,      Master's degree,1335.0,4.7
B2W,2013,      Earned doctorate,200.0,0.7
B2X,1,"Population, 2021",12038.0,
B2X,8,Total - Age groups of the population - 100% data,12035.0,100.0
B2X,9,  0 to 14 years,1865.0,15.5
B2X,13,  15 to 64 years,8170.0,67.9
B2X,24,  65 years and over,2005.0,16.7
B2X,25,    65 to 69 years,725.0,6.0
B2X,26,    70 to 74 years,540.0,4.5
B2X,27,    75 to 79 years,340.0,2.8
B2X,28,    80 to 84 years,205.0,1.7
B2X,29,    85 years and over,195.0,1.6
B2X,30,      85 to 89 years,120.0,1.0
B2X,40,Median age of the population,42.0,42.0
B2X,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,11930.0,100.0
B2X,386,  English and French,1725.0,14.5
B2X,1414,Total - Private households by tenure - 25% sample data,4920.0,100.0
B2X,1415,  Owner,3445.0,70.0
B2X,1416,  Renter,1475.0,30.0
B2X,1486,  Median monthly shelter costs for owned dwellings ($),1230.0,1230.0
B2X,1488,  Median value of dwellings ($),348000.0,348000.0
B2X,1494,  Median monthly shelter costs for rented dwellings ($),970.0,970.0
B2X,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",10000.0,100.0
B2X,1999,"  No certificate, diploma or degree",1325.0,13.3
B2X,2000,  High (secondary) school diploma or equivalency certificate,2610.0,26.1
B2X,2001,"  Postsecondary certificate, diploma or degree",6070.0,60.7
B2X,2002,    Postsecondary certificate or diploma below bachelor level,3100.0,31.0
B2X,2008,    Bachelor's degree or higher,2965.0,29.7
B2X,2009,      Bachelor's degree,2090.0,20.9
B2X,2012,      Master's degree,620.0,6.2
B2X,2013,      Earned doctorate,40.0,0.4
B2Y,1,"Population, 2021",15420.0,
B2Y,8,Total - Age groups of the population - 100% data,15420.0,100.0
B2Y,9,  0 to 14 years,1855.0,12.0
B2Y,13,  15 to 64 years,10450.0,67.8
B2Y,24,  65 years and over,3110.0,20.2
B2Y,25,    65 to 69 years,1085.0,7.0
B2Y,26,    70 to 74 years,820.0,5.3
B2Y,27,    75 to 79 years,535.0,3.5
B2Y,28,    80 to 84 years,345.0,2.2
B2Y,29,    85 years and over,330.0,2.1
B2Y,30,      85 to 89 years,190.0,1.2
B2Y,40,Median age of the population,42.0,42.0
B2Y,383,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15170.0,100.0
B2Y,386,  English and French,1880.0,12.4
B2Y,1414,Total - Private households by tenure - 25% sample data,7890.0,100.0
B2Y,1415,  Owner,3175.0,40.2
B2Y,1416,  Renter,4715.0,59.8
B2Y,1486,  Median monthly shelter costs for owned dwellings ($),1150.0,1150.0
B2Y,1488,  Median value of dwellings ($),348000.0,348000.0
B2Y,1494,  Median monthly shelter costs for rented dwellings ($),990.0,990.0
B2Y,1998,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",13080.0,100.0
B2Y,1999,"  No certificate, diploma or degree",1685.0,12.9
B2Y,2000,  High (secondary) school diploma or equivalency certificate,3075.0,23.5
B2Y,2001,"  Postsecondary certificate, diploma or degree",8320.0,63.6
B2Y,2002,    Postsecondary certificate or diploma below bachelor level,3745.0,28.6
B2Y,2008,    Bachelor's degree or higher,4580.0,35.0
B2Y,2009,      Bachelor's degree,3040.0,23.2
B2Y,2012,      Master's degree,1115.0,8.5
B2Y,2013,      Earned doctorate,140.0,1.1
B2Z,1,"Population, 2021",8335.0,
B2Z,8,Total - Age groups of the population - 100% data,8335.0,100.0
B2Z,9,  0 to 14 years,1180.0,14.2
B2Z,13,  15 to 64 years,5515.0,66.2
B2Z,24,  65 years and over,1640.0,19.7
B2Z,25,    65 to 69 years,635.0,7.6
B2Z,26,    70 to 74 years,455.0,5.5
B2Z,27,    75 to 79 years,280.0,3.4
