timestamp_utc,timestamp_local,group,trips_tracked,trips_canceled,delays_observed,mean_delay_s,median_delay_s,p90_delay_s,pct_early,pct_ontime,pct_late,error
2026-07-12T22:00:02Z,2026-07-12T18:00:02-0400,bus,300,0,0,,,,,,,
2026-07-12T22:00:02Z,2026-07-12T18:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T22:00:02Z,2026-07-12T18:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T22:15:01Z,2026-07-12T18:15:01-0400,all,297,0,0,,,,,,,
2026-07-12T22:15:01Z,2026-07-12T18:15:01-0400,bus,297,0,0,,,,,,,
2026-07-12T22:15:01Z,2026-07-12T18:15:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T22:15:01Z,2026-07-12T18:15:01-0400,unknown,0,0,0,,,,,,,
2026-07-12T22:30:01Z,2026-07-12T18:30:01-0400,all,284,4,0,,,,,,,
2026-07-12T22:30:01Z,2026-07-12T18:30:01-0400,bus,284,4,0,,,,,,,
2026-07-12T22:30:01Z,2026-07-12T18:30:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T22:30:01Z,2026-07-12T18:30:01-0400,unknown,0,0,0,,,,,,,
2026-07-12T22:45:02Z,2026-07-12T18:45:02-0400,all,285,2,0,,,,,,,
2026-07-12T22:45:02Z,2026-07-12T18:45:02-0400,bus,285,2,0,,,,,,,
2026-07-12T22:45:02Z,2026-07-12T18:45:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T22:45:02Z,2026-07-12T18:45:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T23:00:02Z,2026-07-12T19:00:02-0400,all,276,1,0,,,,,,,
2026-07-12T23:00:02Z,2026-07-12T19:00:02-0400,bus,276,1,0,,,,,,,
2026-07-12T23:00:02Z,2026-07-12T19:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T23:00:02Z,2026-07-12T19:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T23:15:01Z,2026-07-12T19:15:01-0400,all,273,1,0,,,,,,,
2026-07-12T23:15:01Z,2026-07-12T19:15:01-0400,bus,273,1,0,,,,,,,
2026-07-12T23:15:01Z,2026-07-12T19:15:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T23:15:01Z,2026-07-12T19:15:01-0400,unknown,0,0,0,,,,,,,
2026-07-12T23:30:02Z,2026-07-12T19:30:02-0400,all,263,1,0,,,,,,,
2026-07-12T23:30:02Z,2026-07-12T19:30:02-0400,bus,263,1,0,,,,,,,
2026-07-12T23:30:02Z,2026-07-12T19:30:02-0400,otrain,0,0,0,,,,,,,
2026-07-12T23:30:02Z,2026-07-12T19:30:02-0400,unknown,0,0,0,,,,,,,
2026-07-12T23:45:01Z,2026-07-12T19:45:01-0400,all,249,0,0,,,,,,,
2026-07-12T23:45:01Z,2026-07-12T19:45:01-0400,bus,249,0,0,,,,,,,
2026-07-12T23:45:01Z,2026-07-12T19:45:01-0400,otrain,0,0,0,,,,,,,
2026-07-12T23:45:01Z,2026-07-12T19:45:01-0400,unknown,0,0,0,,,,,,,
2026-07-13T00:00:02Z,2026-07-12T20:00:02-0400,all,234,0,0,,,,,,,
2026-07-13T00:00:02Z,2026-07-12T20:00:02-0400,bus,234,0,0,,,,,,,
2026-07-13T00:00:02Z,2026-07-12T20:00:02-0400,otrain,0,0,0,,,,,,,
2026-07-13T00:00:02Z,2026-07-12T20:00:02-0400,unknown,0,0,0,,,,,,,
2026-07-13T00:15:01Z,2026-07-12T20:15:01-0400,all,244,0,0,,,,,,,
2026-07-13T00:15:01Z,2026-07-12T20:15:01-0400,bus,244,0,0,,,,,,,
